Chinese FDI Flow to African Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US$ mn, unadjusted",Regional,Algeria,Angola,Benin,Botswana,Burkina Faso,Burundi,Cameroon,Cape Verde,CAR,Chad,Comoros,"Congo, Rep.","Congo, Dem. Rep.",Cote d'Ivoire,Djibouti,Egypt,Equatorial Guinea,Eritrea,Ethiopia,Fmr. Sudan,Gabon,The Gambia,Ghana,Guinea,Guinea-Bissau,Kenya,Lesotho,Liberia,Libya,Madagascar,Malawi,Mali,Mauritania,Mauritius,Morocco,Mozambique,Namibia,Niger,Nigeria,Rwanda,Sao Tome & Principe,Senegal,Seychelles,Sierra Leone,Somalia,South Africa,South Sudan,Sudan,Eswatini,Tanzania,Togo,Tunisia,Uganda,Western Sahara,Zambia,Zimbabwe,,"Total, US$ mn","Total, US$ bn"
2011,,114.34,72.72,0.75,21.86,0.00,0.00,1.87,0.00,2.48,-12.48,0.00,6.81,75.18,0.87,5.66,66.45,12.47,3.30,72.30,,1.93,0.00,40.07,24.55,0.00,68.17,0.03,21.09,47.88,23.10,1.20,47.58,19.69,419.46,9.11,20.26,5.04,51.63,197.42,9.69,0.00,0.19,4.34,10.75,,-14.17,0.05,911.86,,53.12,9.04,3.76,9.91,,291.78,440.03,,3173.14,3.17
2012,,245.88,392.08,5.06,21.10,0.00,1.50,17.65,0.00,0.00,80.68,0.50,98.80,344.17,3.61,0.00,119.41,138.84,1.96,121.56,,30.69,0.00,208.49,64.44,0.00,78.73,0.21,12.00,-6.68,8.43,10.33,44.42,30.87,57.83,1.05,230.52,25.12,-195.94,333.05,5.02,0.07,4.47,53.40,7.69,,-814.91,7.80,-1.69,,119.70,20.59,-0.65,9.79,,291.55,287.47,,2516.66,2.52
2013,,191.30,224.05,8.44,10.19,4.34,1.09,57.20,0.13,1.30,120.95,0.00,109.94,121.27,-4.79,2.00,23.22,22.41,0.90,102.46,,32.10,0.00,122.51,100.13,0.00,230.54,0.00,30.34,0.45,15.51,8.25,108.01,15.27,61.07,7.74,131.89,7.05,116.54,209.13,-5.94,0.00,10.44,17.69,40.03,,-89.19,11.49,140.91,,150.64,23.59,7.06,60.60,,292.86,517.53,,3370.64,3.37
2014,,665.71,-448.57,7.44,52.95,4.45,3.45,29.74,0.10,182.24,83.12,0.00,238.60,157.56,24.26,9.53,162.87,33.13,1.29,119.59,,25.56,0.05,72.90,67.70,1.72,278.39,0.46,40.11,0.13,36.76,3.40,23.39,-7.33,49.43,11.44,102.51,8.02,-44.61,199.77,14.94,0.00,7.06,7.56,4.92,,42.09,-6.82,174.07,,166.61,6.99,0.71,60.50,,424.85,101.18,,3201.92,3.20
2015,,210.57,57.74,14.76,86.08,0.00,2.06,24.67,0.00,0.30,-17.12,0.00,150.08,213.71,60.24,20.33,80.81,-13.04,9.91,175.29,,48.79,0.00,283.22,-25.72,2.24,281.81,0.08,98.18,-41.06,33.84,0.05,-34.01,2.16,154.77,26.03,68.43,17.85,23.69,50.58,4.06,0.00,-7.94,49.58,8.07,,233.17,13.08,31.71,,226.32,-1.73,5.64,205.34,,96.55,46.75,,2977.92,2.98
2016,,-99.89,164.49,9.97,106.20,0.20,2.39,114.23,0.05,0.40,-62.26,0.00,49.13,-78.92,56.53,62.24,119.83,-24.91,68.42,282.14,,32.43,2.28,490.61,36.67,0.61,29.67,0.00,11.14,-17.05,-6.55,2.40,12.95,108.79,72.33,10.16,44.25,21.68,-23.56,108.50,-9.19,0.00,19.85,50.41,-1.80,,843.22,2.03,-689.94,,94.57,2.38,-3.22,121.51,,218.41,42.95,,2398.73,2.40
2017,,-140.53,637.55,1.33,-22.20,0.00,-0.58,87.99,0.00,0.42,-23.05,0.00,284.17,340.24,112.69,104.64,92.76,71.11,-0.13,181.08,,55.42,2.32,44.20,286.56,6.23,410.10,0.00,39.82,-176.40,71.20,43.07,14.34,38.07,33.27,59.86,117.47,20.09,50.84,137.95,9.88,0.00,65.41,27.05,16.27,,317.36,12.21,254.87,,132.46,11.43,-0.82,79.04,,305.80,-107.88,,4104.98,4.10
2018,,178.65,270.34,4.80,-4.86,0.00,4.06,141.79,0.00,46.32,67.77,0.93,-292.64,643.01,163.68,-81.06,221.97,3.80,6.14,341.25,,-69.54,14.43,142.25,203.17,2.57,232.04,0.00,14.35,28.23,55.60,1.46,-84.04,23.23,178.21,90.78,545.63,-24.82,115.44,194.70,45.42,0.00,83.93,227.98,3.94,,642.06,-13.12,57.12,,177.47,-6.59,5.96,225.80,,523.73,53.83,,5389.11,5.39
2019,,-123.62,383.24,-19.79,6.82,1.26,-1.90,-33.69,1.24,0.56,49.81,0.13,94.59,930.96,85.26,26.64,10.96,-44.60,-0.57,375.30,,16.66,-4.51,29.41,53.04,0.00,10.37,0.00,11.20,-129.34,-0.16,-100.58,18.49,-7.46,185.89,-95.16,-46.70,-1.10,178.36,123.27,17.01,0.06,-84.88,1.98,0.76,,338.91,5.49,-70.78,,115.58,8.28,19.96,143.22,,143.39,81.13,,2704.39,2.70
2020,,18.64,125.36,10.64,26.55,0.35,6.22,44.71,0.48,0.14,98.39,-0.05,247.49,611.51,78.86,-2.16,27.43,-49.12,44.61,310.80,,7.78,2.79,-6.71,-295.12,-2.44,629.62,11.65,33.46,72.89,135.98,9.02,18.04,53.20,45.77,128.14,43.28,1.71,235.14,308.94,-6.55,1.55,213.40,87.55,-8.32,,400.43,2.68,2.83,,107.57,9.11,-6.92,97.78,,214.26,76.25,,4225.61,4.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author: Johns Hopkins Univeristy SAIS China-Africa Research Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title: Chinese FDI Flow to African Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: The Statistical Bulletin of China's Outward Foreign Direct Investment published by China's MOFCOM. It is usually updated in September or October of the year, http://fec.mofcom.gov.cn/article/tjsj/. The 2020 data is obtained from MOFCOM via the CEIC database.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 10 Jan 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
